Publication Years,Count
2026,16
2025,1369
2024,1475
2023,1351
2022,1413
2021,1375
2020,1322
2019,1141
2018,1075
2017,1024
2016,958
2015,940
2014,884
2013,791
2012,728
2011,699
2010,545
2009,545
2008,528
2007,504
2006,487
2005,456
2004,431
2003,423
2002,392
2001,402
2000,376
1999,373
1998,371
1997,393
1996,365
1995,323
1994,278
1993,239
1992,188
1991,223
1990,92
1989,91
1988,61
1987,70
1986,63
1985,71
1984,62
1983,53
1982,53
1981,42
1980,35
1979,42
1978,44
1977,38
1976,39
1975,5
1974,7
1973,3
1972,4
1971,3
1970,4
1969,3
1968,5
1967,8
1966,7
1965,5
1964,4
1963,1
1961,4
1957,2
1954,1
1953,1
1952,1
1951,1
