Name,Common Abbr.,Paper Abbr.,KEGG ID,Python Var,Glossary ID
Inactive PSII quencher,$Q_\mathrm{inact}$,$FQ_{inact}$,,Q_inactive,83
Plastoquinol,$\mathrm{PQH}_2$,$PQH_2$,C16693,PQH_2,1
Fraction of PSI donors per PCII that are not available for the linear electron transport,$\mathrm{PSI_{red}}$,$PI_{red}$,,PSI_red,84
Stromal ADP concentration,$\mathrm{ADP_{st}}$,$ADP$,C00008,ADP_st,8
Reaction centers of PSII that are closed,$\mathrm{RCII_{closed}}$,$RCII_{closed}$,,RCII_closed,85
Reaction centers of PSII that are open,$\mathrm{RCII_{open}}$,$RCII_{open}$,,RCII_open,86
Flourescence,$\mathrm{Fluo}$,$ChlF$,,Fluo,58
Nonphotochemical quenching,$\mathrm{NPQ}$,$NPQ$,,NPQ,67
Oxygen Concentration,$\mathrm{O_2}$,$O_2$,,O2,80
